fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,u_x,u_z
1,New file 1,,,,,,,,,,,,502,103.341012623627,,
1,New file 1,,,,,,,,,,,,504,63.9836459883085,,
1,New file 1,,,,,,,,,,,,506,63.9836459883085,,
1,New file 1,,,,,,,,,,,,508,46.2192660118325,,
1,New file 1,,,,,,,,,,,,510,46.2192660118325,,
1,New file 1,,,,,,,,,,,,512,46.2192660118325,,
1,New file 1,,,,,,,,,,,,514,46.2192660118325,,
1,New file 1,,,,,,,,,,,,516,46.2192660118325,,
1,New file 1,,,,,,,,,,,,518,34.1887477969508,,
1,New file 1,,,,,,,,,,,,520,34.1887477969508,,
1,New file 1,,,,,,,,,,,,522,34.1887477969508,,
1,New file 1,,,,,,,,,,,,524,34.1887477969508,,
1,New file 1,,,,,,,,,,,,526,34.1887477969508,,
1,New file 1,,,,,,,,,,,,528,34.1887477969508,,
1,New file 1,,,,,,,,,,,,530,43.8870945323902,,
1,New file 1,,,,,,,,,,,,532,43.8870945323902,,
1,New file 1,,,,,,,,,,,,534,43.8870945323902,,
1,New file 1,,,,,,,,,,,,536,43.8870945323902,,
1,New file 1,,,,,,,,,,,,538,43.8870945323902,,
1,New file 1,,,,,,,,,,,,540,43.8870945323902,,
1,New file 1,,,,,,,,,,,,542,51.6458524039844,,
1,New file 1,,,,,,,,,,,,544,51.6458524039844,,
1,New file 1,,,,,,,,,,,,546,51.6458524039844,,
1,New file 1,,,,,,,,,,,,548,51.6458524039844,,
1,New file 1,,,,,,,,,,,,550,51.6458524039844,,
1,New file 1,,,,,,,,,,,,552,51.6458524039844,,
1,New file 1,,,,,,,,,,,,554,64.7635246717913,,
1,New file 1,,,,,,,,,,,,556,64.7635246717913,,
1,New file 1,,,,,,,,,,,,558,64.7635246717913,,
1,New file 1,,,,,,,,,,,,560,64.7635246717913,,
1,New file 1,,,,,,,,,,,,562,64.7635246717913,,
1,New file 1,,,,,,,,,,,,564,78.352554777391,,
1,New file 1,,,,,,,,,,,,566,78.352554777391,,
1,New file 1,,,,,,,,,,,,568,78.352554777391,,
1,New file 1,,,,,,,,,,,,570,78.352554777391,,
1,New file 1,,,,,,,,,,,,572,78.352554777391,,
1,New file 1,,,,,,,,,,,,574,90.8120822268322,,
1,New file 1,,,,,,,,,,,,576,90.8120822268322,,
1,New file 1,,,,,,,,,,,,578,90.8120822268322,,
1,New file 1,,,,,,,,,,,,580,90.8120822268322,,
1,New file 1,,,,,,,,,,,,582,90.8120822268322,,
1,New file 1,,,,,,,,,,,,584,90.8120822268322,,
1,New file 1,,,,,,,,,,,,586,83.4738095571501,,
1,New file 1,,,,,,,,,,,,588,83.4738095571501,,
1,New file 1,,,,,,,,,,,,590,83.4738095571501,,
1,New file 1,,,,,,,,,,,,592,83.4738095571501,,
1,New file 1,,,,,,,,,,,,594,83.4738095571501,,
1,New file 1,,,,,,,,,,,,596,83.4738095571501,,
