fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,x,y,u_x,u_z
1,New file 1,,,,,,,,,,,,128,248.965615426568,672351.3421941772,5268070.8336491641,2734.34219417709,466.166350835934
1,New file 1,,,,,,,,,,,,130,248.965615426568,672349.4754637908,5268070.1157928668,2732.4754637907,466.884207133204
1,New file 1,,,,,,,,,,,,132,248.965615426568,672347.6087334044,5268069.3979365686,2730.60873340431,467.602063431405
1,New file 1,,,,,,,,,,,,134,244.413591384971,672345.7820445288,5268068.5871513421,2728.78204452875,468.412848657928
1,New file 1,,,,,,,,,,,,136,244.413591384971,672343.9781745326,5268067.7234077249,2726.97817453265,469.276592275128
1,New file 1,,,,,,,,,,,,138,244.413591384971,672342.1743045368,5268066.8596641067,2725.17430453666,470.140335893258
1,New file 1,,,,,,,,,,,,140,244.413591384971,672340.3704345408,5268065.9959204886,2723.37043454067,471.004079511389
1,New file 1,,,,,,,,,,,,142,231.033171244571,672338.6960004874,5268064.9272443475,2721.69600048743,472.07275565248
1,New file 1,,,,,,,,,,,,144,231.033171244571,672337.1409801382,5268063.6695036292,2720.14098013821,473.330496370792
1,New file 1,,,,,,,,,,,,146,231.033171244571,672335.5859597890,5268062.4117629118,2718.58595978899,474.588237088174
1,New file 1,,,,,,,,,,,,148,231.033171244571,672334.0309394398,5268061.1540221935,2717.03093943978,475.845977806486
1,New file 1,,,,,,,,,,,,150,231.033171244571,672332.4759190904,5268059.8962814761,2715.47591909044,477.103718523867
1,New file 1,,,,,,,,,,,,152,231.033171244571,672330.9208987412,5268058.6385407578,2713.92089874123,478.36145924218
1,New file 1,,,,,,,,,,,,154,231.020393671949,672329.3659824100,5268057.3806714658,2712.36598240992,479.619328534231
1,New file 1,,,,,,,,,,,,156,231.020393671949,672327.8112425890,5268056.1225839928,2710.81124258903,480.877416007221
1,New file 1,,,,,,,,,,,,158,231.020393671949,672326.2565027683,5268054.8644965198,2709.25650276814,482.135503480211
1,New file 1,,,,,,,,,,,,160,222.674196156647,672324.7700290954,5268053.5335926255,2707.77002909535,483.466407374479
1,New file 1,,,,,,,,,,,,162,222.674196156647,672323.4143718485,5268052.0631527500,2706.41437184834,484.936847249977
1,New file 1,,,,,,,,,,,,164,222.674196156647,672322.0587146014,5268050.5927128736,2705.05871460144,486.407287126407
1,New file 1,,,,,,,,,,,,166,231.86674243689,672320.5848094140,5268049.2502846178,2703.58480941399,487.749715382233
1,New file 1,,,,,,,,,,,,168,231.86674243689,672319.0116559572,5268048.0152995158,2702.01165595709,488.984700484201
1,New file 1,,,,,,,,,,,,170,231.86674243689,672317.4385025002,5268046.7803144148,2700.43850250007,490.219685585238
1,New file 1,,,,,,,,,,,,172,231.86674243689,672315.8653490432,5268045.5453293137,2698.86534904316,491.454670686275
